instance,number of operations,slack time,object CPLEX 60,time CPLEX 60,object CPLEX 1800,time CPLEX 1800,average object MA - carbon,average time MA-carbon,average cost MA-carbon,coefficient of variation MA-carbon,average makespan MA-carbon,average object MA-cost,average carbon MA-cost,average makespan MA-cost,average objective MA-makespan,average carbon MA-makespan,average cost MA-makespan
CAS-PFSP-M1T3_1.cas,31,1,22702306.2514,60.136263847351074,16626322.975,1802.3968031406405,16872477.62,2.76,16397459.84,0.0029584795502013528,287.0,15415502.94,17358326.94,287.0,287.0,24985853.41,24535445.68
CAS-PFSP-M1T3_2.cas,32,5,25366900.788000003,60.0836021900177,22670534.655499995,1806.1824605464933,22853407.84,2.86,26818696.86,0.002868703016153761,286.8,25807760.14,24225065.47,287.4,283.0,29681983.35,31914283.13
CAS-PFSP-M1T3_3.cas,28,2,30613795.7022,60.094855070114136,16939130.9056,1806.337965011597,17329798.94,2.52,11097113.81,0.009312507926880773,286.3,9067643.41,18660129.83,286.2,286.0,27966058.98,16950844.26
CAS-PFSP-M1T3_4.cas,32,11,61092679.642,60.103535652160645,59265473.6055,1800.2927680015564,59632658.53,2.86,29780666.89,0.0019207867437668637,283.3,28088952.91,61440512.37,286.8,277.0,71864118.87,35670551.61
CAS-PFSP-M1T3_5.cas,32,6,30488328.2531,60.157387495040894,22468795.3985,1800.0915002822876,22824075.45,2.86,16222071.05,0.011432360122170906,284.7,14857409.78,25063753.06,286.4,282.0,36079422.35,23467232.12
CAS-PFSP-M1T3_6.cas,27,2,57813226.66669999,60.17180895805359,48181427.5407,1807.0019009113312,48337706.27,2.44,45930260.64,0.0024088999868880205,288.0,44711007.77,53278867.24,288.0,286.0,60109796.11,48532203.64
CAS-PFSP-M1T3_7.cas,32,2,42772763.725700006,60.197062492370605,38493845.7484,1805.9910566806795,37800495.96,2.87,31117806.55,0.0014895957994726797,288.0,30406380.59,38711411.64,287.9,286.0,42699084.58,33849332.61
CAS-PFSP-M1T3_8.cas,31,14,13781561.7093,60.1630597114563,11652589.1739,1807.511360168457,11547189.79,2.76,10503308.78,0.010364513113281047,284.7,10353036.49,11824634.19,285.6,274.0,25086037.13,20784220.76
CAS-PFSP-M1T3_9.cas,31,11,18453373.306,60.158674001693726,15020675.5435,1800.2150495052338,15425004.27,2.77,20196337.74,0.012143890965678158,287.3,18713224.43,16689419.7,287.8,277.0,23702709.0,30412999.97
CAS-PFSP-M1T3_10.cas,31,12,49869433.0881,60.10635781288147,46327819.9757,1803.5121111869807,47151648.61,2.77,16660233.0,0.005169254886844136,284.5,16178825.05,49143792.11,285.5,276.0,67022269.82,23055072.72
CAS-PFSP-M1T3_11.cas,28,6,15033135.8653,60.11586093902588,14491921.5757,1807.0477561950684,14608088.69,2.53,5934890.16,0.0030989762562839427,285.0,4868010.12,15118985.02,285.6,282.0,20465293.76,11237973.24
CAS-PFSP-M1T3_12.cas,30,4,18165231.191,60.10354018211365,11211084.0596,1800.2798318862915,11728282.04,2.69,7329274.37,0.01292574986540825,285.7,6015256.93,13198260.41,285.4,284.0,22028590.08,16604474.65
CAS-PFSP-M1T3_13.cas,33,7,28657326.0832,60.14145231246948,24903099.9787,1800.1621899604795,25346141.12,2.95,15010164.82,0.011267785050507916,287.5,14669564.95,26356167.39,287.0,281.0,38978719.89,22669912.02
CAS-PFSP-M1T3_14.cas,36,2,27751662.4842,60.10401010513306,18653983.1083,1805.5170311927795,14784248.68,3.2,11181962.77,0.01402347623389679,286.7,10837520.66,15284636.13,286.5,286.0,32984211.08,24349806.04
CAS-PFSP-M1T3_15.cas,31,2,81043754.29089999,60.14434027671814,79001870.085,1800.989909410477,79211553.84,2.77,53854179.76,0.0005419620991997448,288.0,52619264.59,81085400.82,288.0,286.0,89496194.8,58535687.14
CAS-PFSP-M1T3_16.cas,39,1,39296479.0748,60.104909896850586,26637589.4299,1803.347457408905,20400290.52,3.45,15330468.53,0.012142537860289257,287.0,14304514.09,21684211.52,287.0,287.0,39971758.38,31045355.85
CAS-PFSP-M1T3_17.cas,28,8,18149157.9174,60.07245826721192,9670324.973500002,1800.3443686962128,10312784.56,2.53,7354292.81,0.019780431639308867,285.8,7049911.32,10823502.35,283.7,280.0,24268140.08,16433663.65
CAS-PFSP-M1T3_18.cas,29,8,25170798.6423,60.137821435928345,15428412.6854,1806.766409158707,15391216.88,2.6,6488038.44,0.00588732851381924,283.1,6284699.6,15810752.84,284.4,280.0,36902996.49,15470605.85
CAS-PFSP-M1T3_19.cas,33,10,25651922.6571,60.09331440925598,16768102.277199998,1802.9490752220156,17142858.22,2.95,14400046.4,0.010852295901447408,285.8,13679685.98,19566606.92,285.7,278.0,28467996.47,20181268.13
CAS-PFSP-M1T3_20.cas,33,2,33888193.2269,60.10913944244385,21933411.068,1800.1046504974363,22236558.66,2.96,18412995.19,0.007470345233717023,286.2,17410794.08,23653978.35,286.4,286.0,34340460.8,26150950.23
CAS-PFSP-M1T3_21.cas,31,10,27012304.2885,60.12101078033447,21376066.8888,1805.9263973236084,21968728.89,2.77,14961892.34,0.011267310058738678,288.0,14157463.98,25532486.69,284.2,278.0,42741803.55,23063669.83
CAS-PFSP-M1T3_22.cas,31,10,17424743.317099996,60.1307418346405,14470897.305799998,1802.1101717948916,14872644.98,2.79,13412743.35,0.00923040052287996,284.6,12557651.91,16396158.79,284.2,278.0,29071234.83,22079740.92
CAS-PFSP-M1T3_23.cas,38,6,25153585.0606,60.08310961723328,18154605.9395,1804.3765892982483,16617981.3,3.38,16894323.55,0.0047803321333620705,284.9,15897009.34,17926530.8,284.9,282.0,25634186.06,23499495.45
CAS-PFSP-M1T3_24.cas,29,16,16280387.8823,60.09671568870544,15730018.4172,1801.246141910553,15845330.71,2.61,10981770.2,0.0019724725581319216,282.5,9612391.81,16442130.04,283.6,272.0,18176775.1,13769241.99
CAS-PFSP-M1T3_25.cas,34,11,13099170.3038,60.08936047554016,12397037.9029,1810.019856929779,12392965.95,3.03,9315447.66,0.0064428208971235015,283.9,8674837.64,13542308.93,282.5,277.0,22517174.74,16952402.87
